"","Variable","Estimate","CI_95","DF","p_value"
"1","RiskGroupHR-Neg",-0.02796,"(-0.0522, -0.0037)",359,"0.024"
"2","RiskGroupHR-ASD",-0.02868,"(-0.0594, 0.002)",359,"0.067"
"3","Cand_SexMale",-4e-04,"(-0.0069, 0.0061)",359,"0.903"
"4","CSBS_EyeGaze_V24",-0.00309,"(-0.008, 0.0018)",359,"0.212"
"5","V06_V12_ind",-0.00572,"(-0.0262, 0.0147)",389,"0.583"
"6","V12_V24_ind",0.02689,"(0.0051, 0.0487)",389,"0.016"
"7","V24_plus_ind",0.00846,"(-0.0217, 0.0387)",389,"0.582"
"8","CSBS_EyeGaze_V24:V06_V12_ind",0.00226,"(-0.0025, 0.0071)",389,"0.355"
"9","CSBS_EyeGaze_V24:V12_V24_ind",0.0026,"(-0.0021, 0.0073)",389,"0.274"
"10","CSBS_EyeGaze_V24:V24_plus_ind",0.00219,"(-0.0025, 0.0069)",389,"0.364"
"11","RiskGroupHR-ASD:CSBS_EyeGaze_V24",0.00294,"(-0.0036, 0.0094)",359,"0.375"
"12","RiskGroupHR-Neg:CSBS_EyeGaze_V24",0.00403,"(-0.0016, 0.0097)",359,"0.162"
"13","RiskGroupHR-ASD:V06_V12_ind",0.04041,"(0.0059, 0.0749)",389,"0.022"
"14","RiskGroupHR-Neg:V06_V12_ind",0.0326,"(0.0085, 0.0568)",389,"0.008"
"15","RiskGroupHR-ASD:V12_V24_ind",0.06398,"(0.0264, 0.1016)",389,"<0.001"
"16","RiskGroupHR-Neg:V12_V24_ind",0.03552,"(0.0097, 0.0613)",389,"0.007"
"17","RiskGroupHR-ASD:V24_plus_ind",0.10361,"(0.0474, 0.1598)",389,"<0.001"
"18","RiskGroupHR-Neg:V24_plus_ind",0.04321,"(0.0072, 0.0792)",389,"0.019"
"19","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V06_V12_ind",0.00061,"(-0.0067, 0.0079)",389,"0.871"
"20","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V06_V12_ind",-0.00412,"(-0.0097, 0.0015)",389,"0.151"
"21","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V12_V24_ind",0.00038,"(-0.0066, 0.0074)",389,"0.914"
"22","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V12_V24_ind",-0.0034,"(-0.0089, 0.0021)",389,"0.222"
"23","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V24_plus_ind",0.00255,"(-0.0046, 0.0097)",389,"0.483"
"24","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V24_plus_ind",-0.00384,"(-0.0094, 0.0017)",389,"0.175"
