"","Variable","Estimate","CI_95","DF","p_value"
"1","RiskGroupHR-Neg",-49.087,"(-124.04, 25.86)",342,"0.199"
"2","RiskGroupHR-ASD",5.751,"(-96.75, 108.25)",342,"0.912"
"3","Cand_SexMale",77.78,"(42.45, 113.11)",342,"<0.001"
"4","CSBS_EyeGaze_V24",6.285,"(-12.17, 24.74)",342,"0.503"
"5","V06_V12_ind",-24.97,"(-86.78, 36.84)",444,"0.428"
"6","V12_V24_ind",19.97,"(-46.36, 86.3)",444,"0.554"
"7","V24_plus_ind",-14.428,"(-112.88, 84.03)",444,"0.773"
"8","CSBS_EyeGaze_V24:V06_V12_ind",-11.044,"(-28.29, 6.2)",444,"0.209"
"9","CSBS_EyeGaze_V24:V12_V24_ind",-12.24,"(-29.14, 4.65)",444,"0.155"
"10","CSBS_EyeGaze_V24:V24_plus_ind",-8.819,"(-25.88, 8.24)",444,"0.31"
"11","RiskGroupHR-ASD:CSBS_EyeGaze_V24",0.412,"(-24.02, 24.84)",342,"0.974"
"12","RiskGroupHR-Neg:CSBS_EyeGaze_V24",-10.884,"(-31.1, 9.34)",342,"0.29"
"13","RiskGroupHR-ASD:V06_V12_ind",27.397,"(-55.92, 110.71)",444,"0.518"
"14","RiskGroupHR-Neg:V06_V12_ind",50.885,"(-16.41, 118.18)",444,"0.138"
"15","RiskGroupHR-ASD:V12_V24_ind",30.004,"(-56.12, 116.12)",444,"0.494"
"16","RiskGroupHR-Neg:V12_V24_ind",17.5,"(-55.45, 90.45)",444,"0.638"
"17","RiskGroupHR-ASD:V24_plus_ind",45.009,"(-101.58, 191.59)",444,"0.547"
"18","RiskGroupHR-Neg:V24_plus_ind",-22.309,"(-133.49, 88.87)",444,"0.694"
"19","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V06_V12_ind",16.193,"(-4.31, 36.7)",444,"0.121"
"20","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V06_V12_ind",12.033,"(-6.34, 30.41)",444,"0.199"
"21","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V12_V24_ind",15.672,"(-2.85, 34.19)",444,"0.097"
"22","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V12_V24_ind",13.754,"(-4.29, 31.8)",444,"0.135"
"23","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V24_plus_ind",2.285,"(-18.41, 22.98)",444,"0.828"
"24","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V24_plus_ind",12.045,"(-6.54, 30.63)",444,"0.203"
