"","Variable","Estimate","CI_95","DF","p_value"
"1","RiskGroupHR-Neg",-69.643,"(-190.92, 51.64)",347,"0.259"
"2","RiskGroupHR-ASD",-22.346,"(-187.99, 143.3)",347,"0.791"
"3","Cand_SexMale",137.6,"(83.66, 191.54)",347,"<0.001"
"4","CSBS_EyeGaze_V24",-0.072,"(-25.23, 25.08)",347,"0.996"
"5","V06_V12_ind",-12.063,"(-111.39, 87.26)",474,"0.811"
"6","V12_V24_ind",36.061,"(-70.9, 143.02)",474,"0.508"
"7","V24_plus_ind",-40.53,"(-200.36, 119.3)",474,"0.619"
"8","CSBS_EyeGaze_V24:V06_V12_ind",2.589,"(-19.07, 24.25)",474,"0.814"
"9","CSBS_EyeGaze_V24:V12_V24_ind",4.297,"(-16.67, 25.26)",474,"0.687"
"10","CSBS_EyeGaze_V24:V24_plus_ind",10.397,"(-13.57, 34.36)",474,"0.394"
"11","RiskGroupHR-ASD:CSBS_EyeGaze_V24",12.059,"(-23.57, 47.69)",347,"0.506"
"12","RiskGroupHR-Neg:CSBS_EyeGaze_V24",4.28,"(-24.57, 33.13)",347,"0.771"
"13","RiskGroupHR-ASD:V06_V12_ind",40.98,"(-104.19, 186.15)",474,"0.579"
"14","RiskGroupHR-Neg:V06_V12_ind",55.506,"(-55.81, 166.82)",474,"0.328"
"15","RiskGroupHR-ASD:V12_V24_ind",130.149,"(-19.24, 279.54)",474,"0.088"
"16","RiskGroupHR-Neg:V12_V24_ind",59.303,"(-62.23, 180.84)",474,"0.338"
"17","RiskGroupHR-ASD:V24_plus_ind",304.386,"(44.33, 564.44)",474,"0.022"
"18","RiskGroupHR-Neg:V24_plus_ind",54.46,"(-133.24, 242.16)",474,"0.569"
"19","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V06_V12_ind",-1.277,"(-31.43, 28.88)",474,"0.934"
"20","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V06_V12_ind",-2.391,"(-27.17, 22.38)",474,"0.85"
"21","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V12_V24_ind",-2.03,"(-27.52, 23.46)",474,"0.876"
"22","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V12_V24_ind",-2.391,"(-26.56, 21.78)",474,"0.846"
"23","RiskGroupHR-ASD:CSBS_EyeGaze_V24:V24_plus_ind",1.469,"(-31.07, 34.01)",474,"0.929"
"24","RiskGroupHR-Neg:CSBS_EyeGaze_V24:V24_plus_ind",-10.742,"(-38.45, 16.97)",474,"0.447"
