"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.35634,"(0.3414, 0.3713)",296,"<0.001",NA
"2","SCQ_Pro_Score",0.00042,"(-1e-04, 0.001)",279,"0.148",NA
"3","RiskGroupHR-ASD",-0.02286,"(-0.0549, 0.0092)",279,"0.161",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",8e-04,"(-5e-04, 0.0021)",279,"0.24",NA
"5","RiskGroupHR-ASD:AgeMRI",0.00015,"(-4e-04, 7e-04)",296,"0.577",NA
"6","SiteSEA",-0.0041,"(-0.0127, 0.0045)",279,"0.349",NA
"7","SiteSTL",-0.00888,"(-0.0165, -0.0012)",279,"0.023",NA
"8","SiteUNC",0.0028,"(-0.0053, 0.0109)",279,"0.497",NA
"9","Pro_Age_SCQ_y",-0.00051,"(-0.0017, 7e-04)",279,"0.385",NA
"10","AgeMRI",0.00507,"(0.0048, 0.0053)",296,"<0.001",NA
"11","Proband_SexMale",0.00024,"(-0.0076, 0.0081)",279,"0.951",NA
"12","Cand_SexMale",0.00378,"(-0.0023, 0.0098)",279,"0.219",NA
