"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39488,"(0.3827, 0.407)",319,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.00018,"(-7e-04, 4e-04)",300,"0.509",NA
"3","Cand_SexMale",0.00261,"(-0.0032, 0.0084)",300,"0.38",NA
"4","RiskGroupHR-ASD",-0.01143,"(-0.0356, 0.0127)",300,"0.353",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.00053,"(-6e-04, 0.0017)",300,"0.368",NA
"6","RiskGroupHR-ASD:AgeMRI",0.00029,"(-2e-04, 8e-04)",319,"0.243",NA
"7","SiteSEA",-0.00273,"(-0.0109, 0.0055)",300,"0.514",NA
"8","SiteSTL",-0.00611,"(-0.0137, 0.0014)",300,"0.113",NA
"9","SiteUNC",0.00444,"(-0.0033, 0.0122)",300,"0.261",NA
"10","AgeMRI",0.0051,"(0.0049, 0.0053)",319,"<0.001",NA
