"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39689,"(0.3809, 0.4128)",233,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-0.00029,"(-0.0012, 6e-04)",220,"0.514",NA
"3","Cand_SexMale",0.00256,"(-0.0043, 0.0094)",220,"0.462",NA
"4","RiskGroupHR-ASD",-0.03082,"(-0.068, 0.0064)",220,"0.104",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",0.00185,"(-2e-04, 0.0039)",220,"0.076",NA
"6","RiskGroupHR-ASD:AgeMRI",0.00013,"(-5e-04, 8e-04)",233,"0.68",NA
"7","SiteSEA",-0.00475,"(-0.0148, 0.0053)",220,"0.353",NA
"8","SiteSTL",-0.00777,"(-0.0172, 0.0017)",220,"0.106",NA
"9","SiteUNC",0.00414,"(-0.0052, 0.0135)",220,"0.384",NA
"10","AgeMRI",0.00504,"(0.0048, 0.0053)",233,"<0.001",NA
