"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39061,"(0.3799, 0.4013)",319,"<0.001",NA
"2","ADIR_Pro_C_Tot",0.00011,"(-0.0011, 0.0013)",300,"0.861",NA
"3","Cand_SexMale",0.00296,"(-0.0029, 0.0088)",300,"0.317",NA
"4","RiskGroupHR-ASD",-0.0124,"(-0.0308, 0.006)",300,"0.187",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",0.00187,"(-9e-04, 0.0046)",300,"0.179",NA
"6","RiskGroupHR-ASD:AgeMRI",0.00028,"(-2e-04, 8e-04)",319,"0.261",NA
"7","SiteSEA",-0.00272,"(-0.0109, 0.0055)",300,"0.514",NA
"8","SiteSTL",-0.00667,"(-0.0141, 8e-04)",300,"0.079",NA
"9","SiteUNC",0.00465,"(-0.0032, 0.0125)",300,"0.248",NA
"10","AgeMRI",0.0051,"(0.0049, 0.0053)",319,"<0.001",NA
