"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39271,"(0.3856, 0.3998)",296,"<0.001",NA
"2","SCQ_Pro_Score",0.00036,"(-2e-04, 9e-04)",280,"0.202",NA
"3","Cand_SexMale",0.0038,"(-0.0022, 0.0098)",280,"0.213",NA
"4","RiskGroupHR-ASD",-0.00453,"(-0.0126, 0.0035)",280,"0.269",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",0.00079,"(-6e-04, 0.0021)",280,"0.247",NA
"6","RiskGroupHR-ASD:AgeMRI",0.00014,"(-4e-04, 7e-04)",296,"0.59",NA
"7","SiteSEA",-0.00384,"(-0.0124, 0.0048)",280,"0.381",NA
"8","SiteSTL",-0.00875,"(-0.0164, -0.0011)",280,"0.026",NA
"9","SiteUNC",0.00324,"(-0.0049, 0.0113)",280,"0.432",NA
"10","AgeMRI",0.00507,"(0.0048, 0.0053)",296,"<0.001",NA
