"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.46809,"(0.4589, 0.4773)",297,"<0.001",NA
"2","SCQ_Pro_Score",0.00037,"(-3e-04, 0.0011)",281,"0.3",NA
"3","Cand_SexMale",0.00413,"(-0.0035, 0.0117)",281,"0.286",NA
"4","RiskGroupHR-ASD",-0.00878,"(-0.0201, 0.0025)",281,"0.127",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",0.00055,"(-0.0012, 0.0023)",281,"0.532",NA
"6","RiskGroupHR-ASD:AgeMRI",-3e-05,"(-7e-04, 7e-04)",297,"0.939",NA
"7","SiteSEA",-0.00035,"(-0.0112, 0.0105)",281,"0.95",NA
"8","SiteSTL",-0.017,"(-0.0267, -0.0073)",281,"<0.001",NA
"9","SiteUNC",0.00185,"(-0.0084, 0.0121)",281,"0.722",NA
"10","AgeMRI",0.00413,"(0.0038, 0.0044)",297,"<0.001",NA
