"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.4707,"(0.4553, 0.4861)",320,"<0.001",NA
"2","ADIR_Pro_A_Tot",-9e-05,"(-8e-04, 6e-04)",300,"0.801",NA
"3","Cand_SexMale",0.00047,"(-0.0069, 0.0078)",300,"0.901",NA
"4","RiskGroupHR-ASD",-0.02841,"(-0.0589, 0.0021)",300,"0.068",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.00111,"(-3e-04, 0.0026)",300,"0.136",NA
"6","RiskGroupHR-ASD:AgeMRI",9e-05,"(-6e-04, 7e-04)",320,"0.781",NA
"7","SiteSEA",0.00032,"(-0.01, 0.0106)",300,"0.951",NA
"8","SiteSTL",-0.0143,"(-0.0238, -0.0048)",300,"0.003",NA
"9","SiteUNC",0.0036,"(-0.0062, 0.0134)",300,"0.469",NA
"10","AgeMRI",0.00411,"(0.0038, 0.0044)",320,"<0.001",NA
