"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.46992,"(0.4498, 0.49)",234,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-5e-05,"(-0.0012, 0.0011)",220,"0.926",NA
"3","Cand_SexMale",0.00212,"(-0.0065, 0.0107)",220,"0.627",NA
"4","RiskGroupHR-ASD",-0.01977,"(-0.067, 0.0274)",220,"0.41",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",0.00083,"(-0.0018, 0.0034)",220,"0.526",NA
"6","RiskGroupHR-ASD:AgeMRI",-2e-05,"(-9e-04, 8e-04)",234,"0.957",NA
"7","SiteSEA",8e-04,"(-0.0118, 0.0134)",220,"0.9",NA
"8","SiteSTL",-0.01551,"(-0.0273, -0.0037)",220,"0.01",NA
"9","SiteUNC",0.00149,"(-0.0103, 0.0132)",220,"0.802",NA
"10","AgeMRI",0.00404,"(0.0037, 0.0044)",234,"<0.001",NA
