"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.46613,"(0.4525, 0.4798)",320,"<0.001",NA
"2","ADIR_Pro_C_Tot",0.00046,"(-0.0011, 0.002)",300,"0.561",NA
"3","Cand_SexMale",8e-04,"(-0.0066, 0.0082)",300,"0.83",NA
"4","RiskGroupHR-ASD",-0.00805,"(-0.0315, 0.0154)",300,"0.501",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",0.00029,"(-0.0031, 0.0037)",300,"0.869",NA
"6","RiskGroupHR-ASD:AgeMRI",7e-05,"(-6e-04, 7e-04)",320,"0.823",NA
"7","SiteSEA",3e-04,"(-0.01, 0.0106)",300,"0.955",NA
"8","SiteSTL",-0.01521,"(-0.0246, -0.0058)",300,"0.002",NA
"9","SiteUNC",0.00372,"(-0.0062, 0.0137)",300,"0.463",NA
"10","AgeMRI",0.0041,"(0.0038, 0.0044)",320,"<0.001",NA
