"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.46827,"(0.459, 0.4776)",297,"<0.001",NA
"2","SCQ_Pro_Score",0.00037,"(-3e-04, 0.0011)",280,"0.299",NA
"3","Cand_SexMale",0.00405,"(-0.0036, 0.0117)",280,"0.297",NA
"4","RiskGroupHR-ASD",-0.0088,"(-0.0201, 0.0025)",280,"0.126",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",0.00055,"(-0.0012, 0.0023)",280,"0.532",NA
"6","RiskGroupHR-ASD:AgeMRI",-3e-05,"(-7e-04, 7e-04)",297,"0.942",NA
"7","SiteSEA",-0.00047,"(-0.0114, 0.0104)",280,"0.932",NA
"8","SiteSTL",-0.01712,"(-0.0269, -0.0074)",280,"<0.001",NA
"9","SiteUNC",0.00173,"(-0.0086, 0.012)",280,"0.742",NA
"10","AgeMRI",0.00413,"(0.0038, 0.0044)",297,"<0.001",NA
