"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.35235,"(0.3251, 0.3796)",256,"<0.001",NA
"2","SCQ_Pro_Score",0.00029,"(-3e-04, 9e-04)",237,"0.332",NA
"3","VABS_Pro_ABC_SS",0.00017,"(-1e-04, 4e-04)",237,"0.215",NA
"4","Cand_SexMale",9e-04,"(-0.0052, 0.007)",237,"0.77",NA
"5","RiskGroupHR-ASD",-0.01909,"(-0.0842, 0.0461)",237,"0.564",NA
"6","RiskGroupHR-ASD:SCQ_Pro_Score",0.00098,"(-5e-04, 0.0025)",237,"0.192",NA
"7","RiskGroupHR-ASD:AgeMRI",2e-05,"(-6e-04, 6e-04)",256,"0.941",NA
"8","RiskGroupHR-ASD:VABS_Pro_ABC_SS",-3e-05,"(-6e-04, 6e-04)",237,"0.928",NA
"9","SiteSEA",-0.01079,"(-0.0199, -0.0017)",237,"0.02",NA
"10","SiteSTL",-0.01978,"(-0.0277, -0.0119)",237,"<0.001",NA
"11","SiteUNC",-0.00552,"(-0.0141, 0.0031)",237,"0.206",NA
"12","AgeMRI",0.00452,"(0.0043, 0.0048)",256,"<0.001",NA
