"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39902,"(0.388, 0.4101)",320,"<0.001",NA
"2","ADIR_Pro_A_Tot",-1e-04,"(-6e-04, 4e-04)",300,"0.701",NA
"3","Cand_SexMale",-0.00131,"(-0.0066, 0.004)",300,"0.628",NA
"4","RiskGroupHR-ASD",-0.01489,"(-0.037, 0.0072)",300,"0.185",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",0.00085,"(-2e-04, 0.0019)",300,"0.117",NA
"6","RiskGroupHR-ASD:AgeMRI",-1e-05,"(-5e-04, 5e-04)",320,"0.958",NA
"7","SiteSEA",-0.00765,"(-0.0151, -2e-04)",300,"0.045",NA
"8","SiteSTL",-0.01679,"(-0.0237, -0.0099)",300,"<0.001",NA
"9","SiteUNC",-0.00397,"(-0.011, 0.0031)",300,"0.27",NA
"10","AgeMRI",0.00459,"(0.0044, 0.0048)",320,"<0.001",NA
