"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39736,"(0.3828, 0.4119)",234,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-8e-05,"(-9e-04, 7e-04)",220,"0.837",NA
"3","Cand_SexMale",-0.00083,"(-0.0071, 0.0054)",220,"0.792",NA
"4","RiskGroupHR-ASD",-0.03119,"(-0.0652, 0.0028)",220,"0.072",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",0.00179,"(-1e-04, 0.0037)",220,"0.061",NA
"6","RiskGroupHR-ASD:AgeMRI",6e-05,"(-6e-04, 7e-04)",234,"0.857",NA
"7","SiteSEA",-0.0063,"(-0.0154, 0.0028)",220,"0.175",NA
"8","SiteSTL",-0.01563,"(-0.0242, -0.0071)",220,"<0.001",NA
"9","SiteUNC",-0.00412,"(-0.0126, 0.0044)",220,"0.341",NA
"10","AgeMRI",0.00454,"(0.0043, 0.0048)",234,"<0.001",NA
