"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.39793,"(0.3881, 0.4077)",320,"<0.001",NA
"2","ADIR_Pro_C_Tot",-0.00012,"(-0.0012, 0.001)",300,"0.839",NA
"3","Cand_SexMale",-0.00103,"(-0.0063, 0.0043)",300,"0.703",NA
"4","RiskGroupHR-ASD",-0.0101,"(-0.027, 0.0068)",300,"0.239",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",0.00196,"(-5e-04, 0.0045)",300,"0.122",NA
"6","RiskGroupHR-ASD:AgeMRI",-3e-05,"(-5e-04, 5e-04)",320,"0.889",NA
"7","SiteSEA",-0.00762,"(-0.0151, -2e-04)",300,"0.045",NA
"8","SiteSTL",-0.01717,"(-0.024, -0.0104)",300,"<0.001",NA
"9","SiteUNC",-0.00417,"(-0.0114, 0.003)",300,"0.255",NA
"10","AgeMRI",0.00459,"(0.0044, 0.0048)",320,"<0.001",NA
