"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",79165.18,"(69184.93, 89145.43)",336,"<0.001",NA
"2","SCQ_Pro_Score",-348.469,"(-740.79, 43.85)",268,"0.081",NA
"3","Cand_SexMale",4873.694,"(742.86, 9004.52)",268,"0.021",NA
"4","RiskGroupHR-ASD",-20427.164,"(-44975.65, 4121.33)",268,"0.103",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",1331.586,"(324.63, 2338.54)",268,"0.01",NA
"6","RiskGroupHR-ASD:AgeMRI",-335.499,"(-633.31, -37.69)",336,"0.027",NA
"7","SiteSEA",1220.324,"(-4739.84, 7180.49)",268,"0.687",NA
"8","SiteSTL",-133.392,"(-5501.25, 5234.47)",268,"0.961",NA
"9","SiteUNC",1556.399,"(-4133.36, 7246.16)",268,"0.591",NA
"10","AgeMRI",-205.964,"(-340.28, -71.64)",336,"0.003",NA
