"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",65659.685,"(56729.54, 74589.83)",355,"<0.001",NA
"2","ADIR_Pro_A_Tot",194.525,"(-196.34, 585.38)",285,"0.328",NA
"3","Cand_SexMale",6123.004,"(2157.23, 10088.77)",285,"0.003",NA
"4","RiskGroupHR-ASD",9433.42,"(-7733.91, 26600.75)",285,"0.28",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",-95.236,"(-894.07, 703.6)",285,"0.815",NA
"6","RiskGroupHR-ASD:AgeMRI",-324.581,"(-610.66, -38.5)",355,"0.026",NA
"7","SiteSEA",977.163,"(-4674.56, 6628.89)",285,"0.734",NA
"8","SiteSTL",-969.752,"(-6111.17, 4171.66)",285,"0.711",NA
"9","SiteUNC",1019,"(-4395.3, 6433.3)",285,"0.711",NA
"10","AgeMRI",-176.994,"(-306.6, -47.39)",355,"0.008",NA
