"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",79956.394,"(68341.8, 91570.99)",246,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-645.285,"(-1270.1, -20.47)",203,"0.043",NA
"3","Cand_SexMale",7327.968,"(2611.87, 12044.06)",203,"0.002",NA
"4","RiskGroupHR-ASD",-14365.166,"(-39815.96, 11085.63)",203,"0.267",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",1190.423,"(-211.69, 2592.54)",203,"0.096",NA
"6","RiskGroupHR-ASD:AgeMRI",-189.463,"(-576.02, 197.1)",246,"0.335",NA
"7","SiteSEA",1913.487,"(-5103.62, 8930.59)",203,"0.591",NA
"8","SiteSTL",1235.158,"(-5238.51, 7708.83)",203,"0.707",NA
"9","SiteUNC",2250.863,"(-4365.93, 8867.66)",203,"0.503",NA
"10","AgeMRI",-213.275,"(-361.26, -65.29)",246,"0.005",NA
