"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",71964.858,"(64143.08, 79786.63)",355,"<0.001",NA
"2","ADIR_Pro_C_Tot",-384.982,"(-1232.04, 462.07)",285,"0.372",NA
"3","Cand_SexMale",5864.77,"(1891.57, 9837.97)",285,"0.004",NA
"4","RiskGroupHR-ASD",6877.009,"(-7141.63, 20895.65)",285,"0.335",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",122.523,"(-1775.21, 2020.26)",285,"0.899",NA
"6","RiskGroupHR-ASD:AgeMRI",-320.494,"(-606.16, -34.83)",355,"0.028",NA
"7","SiteSEA",1154.328,"(-4487.2, 6795.86)",285,"0.687",NA
"8","SiteSTL",-457.078,"(-5556.91, 4642.76)",285,"0.86",NA
"9","SiteUNC",577.817,"(-4939.26, 6094.9)",285,"0.837",NA
"10","AgeMRI",-180.581,"(-309.86, -51.3)",355,"0.006",NA
