"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",69891.512,"(64328.53, 75454.5)",336,"<0.001",NA
"2","SCQ_Pro_Score",-350.365,"(-741.6, 40.87)",267,"0.079",NA
"3","Cand_SexMale",5106.092,"(979.18, 9233.01)",267,"0.016",NA
"4","RiskGroupHR-ASD",6026.306,"(-1794.39, 13847)",267,"0.13",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",1329.164,"(325.06, 2333.27)",267,"0.01",NA
"6","RiskGroupHR-ASD:AgeMRI",-341.007,"(-638.33, -43.68)",336,"0.025",NA
"7","SiteSEA",1601.368,"(-4356.24, 7558.97)",267,"0.597",NA
"8","SiteSTL",240.381,"(-5128.77, 5609.53)",267,"0.93",NA
"9","SiteUNC",1911.338,"(-3776.73, 7599.41)",267,"0.509",NA
"10","AgeMRI",-200.77,"(-334.96, -66.58)",336,"0.003",NA
