"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1210.884,"(1136.53, 1285.24)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",1.908,"(-6.49, 10.31)",286,"0.655",NA
"3","Cand_SexMale",76.229,"(35.82, 116.63)",286,"<0.001",NA
"4","RiskGroupHR-ASD",29.144,"(-108.31, 166.6)",286,"0.677",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",0.385,"(-19.8, 20.57)",286,"0.97",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.444,"(-2.75, 1.86)",394,"0.705",NA
"7","SiteSEA",45.756,"(-11.52, 103.03)",286,"0.117",NA
"8","SiteSTL",-34.756,"(-87.77, 18.26)",286,"0.198",NA
"9","SiteUNC",-7.611,"(-64.36, 49.14)",286,"0.792",NA
"10","AgeMRI",15.613,"(14.6, 16.62)",394,"<0.001",NA
