"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",648.426,"(581.98, 714.87)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-0.992,"(-4, 2.02)",286,"0.517",NA
"3","Cand_SexMale",61.79,"(29.77, 93.81)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-56.169,"(-194.02, 81.68)",286,"0.423",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",6.076,"(-0.65, 12.8)",286,"0.077",NA
"6","RiskGroupHR-ASD:AgeMRI",-0.464,"(-2.16, 1.23)",394,"0.591",NA
"7","SiteSEA",14.318,"(-31.16, 59.8)",286,"0.536",NA
"8","SiteSTL",11.345,"(-31.03, 53.72)",286,"0.599",NA
"9","SiteUNC",35.988,"(-8.24, 80.21)",286,"0.11",NA
"10","AgeMRI",8.844,"(8.1, 9.58)",394,"<0.001",NA
