"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1281.139,"(1093.23, 1469.05)",369,"<0.001",NA
"2","SCQ_Pro_Score",1.406,"(-5.78, 8.59)",266,"0.7",NA
"3","RiskGroupHR-ASD",-200.586,"(-656.37, 255.2)",266,"0.387",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",7.578,"(-11.95, 27.1)",266,"0.445",NA
"5","RiskGroupHR-ASD:AgeMRI",2.487,"(-1.17, 6.14)",369,"0.181",NA
"6","SiteSEA",-5.42,"(-114.72, 103.88)",266,"0.922",NA
"7","SiteSTL",-5.968,"(-106.05, 94.11)",266,"0.907",NA
"8","SiteUNC",43.645,"(-63.93, 151.22)",266,"0.425",NA
"9","Pro_Age_SCQ_y",-1.211,"(-16.05, 13.63)",266,"0.872",NA
"10","AgeMRI",31.218,"(29.63, 32.81)",369,"<0.001",NA
"11","Proband_SexMale",9.543,"(-99.44, 118.53)",266,"0.863",NA
"12","Cand_SexMale",143.89,"(67.16, 220.62)",266,"<0.001",NA
