"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1547.153,"(1338.07, 1756.24)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-0.964,"(-12.63, 10.7)",204,"0.871",NA
"3","Cand_SexMale",130.823,"(40.63, 221.02)",204,"0.005",NA
"4","RiskGroupHR-ASD",-361.417,"(-882.94, 160.1)",204,"0.173",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",23.211,"(-6.69, 53.11)",204,"0.127",NA
"6","RiskGroupHR-ASD:AgeMRI",5.083,"(0.07, 10.09)",275,"0.047",NA
"7","SiteSEA",-22.085,"(-156.17, 112)",204,"0.746",NA
"8","SiteSTL",-29.16,"(-155.72, 97.4)",204,"0.65",NA
"9","SiteUNC",32.301,"(-94.91, 159.51)",204,"0.617",NA
"10","AgeMRI",31.548,"(29.74, 33.36)",275,"<0.001",NA
