"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",756.817,"(711.26, 802.38)",369,"<0.001",NA
"2","SCQ_Pro_Score",-1.362,"(-4.76, 2.04)",267,"0.431",NA
"3","Cand_SexMale",50.866,"(13.33, 88.4)",267,"0.008",NA
"4","RiskGroupHR-ASD",-1.444,"(-51.53, 48.64)",267,"0.955",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",8.339,"(-1.22, 17.9)",267,"0.087",NA
"6","RiskGroupHR-ASD:AgeMRI",0.058,"(-2.07, 2.18)",369,"0.957",NA
"7","SiteSEA",-18.5,"(-72.36, 35.36)",267,"0.499",NA
"8","SiteSTL",-31.228,"(-80.76, 18.3)",267,"0.216",NA
"9","SiteUNC",-33.192,"(-86.07, 19.68)",267,"0.218",NA
"10","AgeMRI",12.457,"(11.53, 13.38)",369,"<0.001",NA
