"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",745939.565,"(703921.67, 787957.46)",374,"<0.001",NA
"2","SCQ_Pro_Score",-907.389,"(-2519.59, 704.81)",292,"0.269",NA
"3","RiskGroupHR-ASD",-127931.864,"(-219393.21, -36470.52)",292,"0.006",NA
"4","RiskGroupHR-ASD:SCQ_Pro_Score",6147.958,"(2253.39, 10042.52)",292,"0.002",NA
"5","RiskGroupHR-ASD:AgeMRI",259.57,"(-912.65, 1431.79)",374,"0.664",NA
"6","SiteSEA",-13625.178,"(-37525.11, 10274.76)",292,"0.263",NA
"7","SiteSTL",-9196.347,"(-30869.66, 12476.97)",292,"0.404",NA
"8","SiteUNC",4155.705,"(-19310.11, 27621.52)",292,"0.728",NA
"9","Pro_Age_SCQ_y",-1218.522,"(-4471.31, 2034.26)",292,"0.462",NA
"10","AgeMRI",6511.037,"(5994.45, 7027.62)",374,"<0.001",NA
"11","Proband_SexMale",2099.074,"(-20922.53, 25120.67)",292,"0.858",NA
"12","Cand_SexMale",75402.499,"(58413.95, 92391.04)",292,"<0.001",NA
