"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",777940.31,"(744283.11, 811597.51)",400,"<0.001",NA
"2","ADIR_Pro_A_Tot",-790.399,"(-2316.62, 735.82)",316,"0.309",NA
"3","Cand_SexMale",74767.5,"(58857.28, 90677.72)",316,"<0.001",NA
"4","RiskGroupHR-ASD",-69450.466,"(-137454.91, -1446.02)",316,"0.045",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",4254.489,"(953.17, 7555.81)",316,"0.012",NA
"6","RiskGroupHR-ASD:AgeMRI",348.287,"(-777.79, 1474.37)",400,"0.544",NA
"7","SiteSEA",-10932.997,"(-33168.24, 11302.25)",316,"0.334",NA
"8","SiteSTL",-13999.623,"(-34643.26, 6644.02)",316,"0.183",NA
"9","SiteUNC",5280.923,"(-16446.94, 27008.79)",316,"0.633",NA
"10","AgeMRI",6544.691,"(6050.51, 7038.87)",400,"<0.001",NA
