"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",811153.387,"(766220.74, 856086.03)",282,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-2543.047,"(-5057.73, -28.36)",226,"0.047",NA
"3","Cand_SexMale",71745.518,"(52779.05, 90711.98)",226,"<0.001",NA
"4","RiskGroupHR-ASD",-97827.32,"(-199362.03, 3707.39)",226,"0.059",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",6417.245,"(650.16, 12184.33)",226,"0.029",NA
"6","RiskGroupHR-ASD:AgeMRI",85.964,"(-1446.11, 1618.03)",282,"0.912",NA
"7","SiteSEA",-13882.546,"(-41404.82, 13639.72)",226,"0.321",NA
"8","SiteSTL",-15874.509,"(-41966.91, 10217.89)",226,"0.232",NA
"9","SiteUNC",3250.278,"(-22936.59, 29437.15)",226,"0.807",NA
"10","AgeMRI",6606.975,"(6052.05, 7161.9)",282,"<0.001",NA
