"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",787837.842,"(758121.78, 817553.9)",400,"<0.001",NA
"2","ADIR_Pro_C_Tot",-3512.415,"(-6864.84, -159.99)",316,"0.04",NA
"3","Cand_SexMale",75580.986,"(59613.16, 91548.82)",316,"<0.001",NA
"4","RiskGroupHR-ASD",-30043.183,"(-82778.62, 22692.26)",316,"0.263",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",6973.762,"(-819.06, 14766.59)",316,"0.079",NA
"6","RiskGroupHR-ASD:AgeMRI",291.789,"(-832.65, 1416.22)",400,"0.61",NA
"7","SiteSEA",-13240.078,"(-35524.47, 9044.31)",316,"0.243",NA
"8","SiteSTL",-15286.97,"(-35761.77, 5187.83)",316,"0.143",NA
"9","SiteUNC",-771.366,"(-22939.1, 21396.37)",316,"0.945",NA
"10","AgeMRI",6563.688,"(6070.27, 7057.1)",400,"<0.001",NA
