"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",764514.516,"(744590.03, 784439)",374,"<0.001",NA
"2","SCQ_Pro_Score",-1008.653,"(-2546.02, 528.71)",293,"0.198",NA
"3","Cand_SexMale",73631.992,"(57103.09, 90160.9)",293,"<0.001",NA
"4","RiskGroupHR-ASD",4661.725,"(-18343.67, 27667.12)",293,"0.69",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",6110.881,"(2282.61, 9939.15)",293,"0.002",NA
"6","RiskGroupHR-ASD:AgeMRI",263.965,"(-905.46, 1433.39)",374,"0.657",NA
"7","SiteSEA",-15933.885,"(-39438.5, 7570.73)",293,"0.183",NA
"8","SiteSTL",-12093.367,"(-33470.23, 9283.49)",293,"0.266",NA
"9","SiteUNC",2109.549,"(-20900.13, 25119.23)",293,"0.857",NA
"10","AgeMRI",6503.041,"(5987.34, 7018.74)",374,"<0.001",NA
