"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",56059.62,"(54801.08, 57318.16)",369,"<0.001",NA
"2","SCQ_Pro_Score",-71.822,"(-166.11, 22.46)",267,"0.135",NA
"3","Cand_SexMale",4501.76,"(3465.27, 5538.25)",267,"<0.001",NA
"4","RiskGroupHR-ASD",312.413,"(-1068.14, 1692.96)",267,"0.656",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",384.428,"(119.11, 649.74)",267,"0.005",NA
"6","RiskGroupHR-ASD:AgeMRI",8.14,"(-46.18, 62.46)",369,"0.768",NA
"7","SiteSEA",-71.073,"(-1559.02, 1416.88)",267,"0.925",NA
"8","SiteSTL",-581.142,"(-1947.39, 785.11)",267,"0.403",NA
"9","SiteUNC",15.982,"(-1442.76, 1474.73)",267,"0.983",NA
"10","AgeMRI",1056.341,"(1032.63, 1080.05)",369,"<0.001",NA
