"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",56969.744,"(54871.26, 59068.23)",394,"<0.001",NA
"2","ADIR_Pro_A_Tot",-55.515,"(-150.83, 39.8)",286,"0.253",NA
"3","Cand_SexMale",4420.154,"(3406.51, 5433.79)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-4154.553,"(-8512.05, 202.94)",286,"0.062",NA
"5","RiskGroupHR-ASD:ADIR_Pro_A_Tot",261.752,"(48.92, 474.58)",286,"0.016",NA
"6","RiskGroupHR-ASD:AgeMRI",13.098,"(-38.63, 64.83)",394,"0.619",NA
"7","SiteSEA",312.27,"(-1130.57, 1755.11)",286,"0.67",NA
"8","SiteSTL",-457.549,"(-1801.99, 886.89)",286,"0.503",NA
"9","SiteUNC",249.303,"(-1153.5, 1652.11)",286,"0.727",NA
"10","AgeMRI",1055.839,"(1033.2, 1078.48)",394,"<0.001",NA
