"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",59382.708,"(56587.27, 62178.15)",275,"<0.001",NA
"2","ADIR_Pro_BV_Tot",-182.315,"(-338.29, -26.34)",204,"0.022",NA
"3","Cand_SexMale",4359.311,"(3153.01, 5565.61)",204,"<0.001",NA
"4","RiskGroupHR-ASD",-8783.908,"(-15767.31, -1800.51)",204,"0.014",NA
"5","RiskGroupHR-ASD:ADIR_Pro_BV_Tot",561.333,"(161.12, 961.55)",204,"0.006",NA
"6","RiskGroupHR-ASD:AgeMRI",-8.866,"(-78.24, 60.51)",275,"0.802",NA
"7","SiteSEA",255.648,"(-1538.65, 2049.94)",204,"0.779",NA
"8","SiteSTL",-757.046,"(-2450.63, 936.54)",204,"0.379",NA
"9","SiteUNC",2.658,"(-1699.89, 1705.21)",204,"0.998",NA
"10","AgeMRI",1050.366,"(1025.32, 1075.41)",275,"<0.001",NA
