"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",56708.523,"(54833.17, 58583.88)",394,"<0.001",NA
"2","ADIR_Pro_C_Tot",-106.659,"(-319, 105.68)",286,"0.324",NA
"3","Cand_SexMale",4531.589,"(3509.47, 5553.71)",286,"<0.001",NA
"4","RiskGroupHR-ASD",-835.451,"(-4301.89, 2630.99)",286,"0.636",NA
"5","RiskGroupHR-ASD:ADIR_Pro_C_Tot",283.38,"(-226.14, 792.9)",286,"0.275",NA
"6","RiskGroupHR-ASD:AgeMRI",11.51,"(-40.5, 63.52)",394,"0.664",NA
"7","SiteSEA",175.335,"(-1275.5, 1626.17)",286,"0.812",NA
"8","SiteSTL",-624.571,"(-1966.34, 717.2)",286,"0.36",NA
"9","SiteUNC",-34.004,"(-1470.13, 1402.12)",286,"0.963",NA
"10","AgeMRI",1055.926,"(1033.15, 1078.71)",394,"<0.001",NA
