"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.36249,"(0.34555, 0.37943)",294,"<0.001",NA
"2","SCQ_Pro_Score",0,"(-0.00074, 0.00074)",281,"1",NA
"3","Cand_SexMale",0.00381,"(-0.00218, 0.00979)",281,"0.212",NA
"4","RiskGroupHR-ASD",-0.03924,"(-0.08365, 0.00517)",281,"0.083",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",0.00155,"(-0.00033, 0.00343)",281,"0.106",NA
"6","RiskGroupHR-ASD:AgeMRI",0.0016,"(-0.00108, 0.00428)",294,"0.241",NA
"7","SCQ_Pro_Score:AgeMRI",3e-05,"(-1e-05, 7e-05)",294,"0.152",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",-7e-05,"(-0.00018, 5e-05)",294,"0.258",NA
"9","SiteSEA",-0.00409,"(-0.01268, 0.0045)",281,"0.35",NA
"10","SiteSTL",-0.00903,"(-0.0167, -0.00137)",281,"0.021",NA
"11","SiteUNC",0.0029,"(-0.00519, 0.01099)",281,"0.481",NA
"12","AgeMRI",0.00441,"(0.00348, 0.00535)",294,"<0.001",NA
