"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",0.44385,"(0.41939, 0.46831)",295,"<0.001",NA
"2","SCQ_Pro_Score",-2e-05,"(-0.0011, 0.00106)",281,"0.977",NA
"3","Cand_SexMale",0.00434,"(-0.00327, 0.01194)",281,"0.263",NA
"4","RiskGroupHR-ASD",-0.06683,"(-0.13115, -0.00252)",281,"0.042",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",0.00256,"(-0.00017, 0.0053)",281,"0.066",NA
"6","RiskGroupHR-ASD:AgeMRI",0.00323,"(-0.00029, 0.00675)",295,"0.072",NA
"7","SCQ_Pro_Score:AgeMRI",3e-05,"(-3e-05, 8e-05)",295,"0.351",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",-0.00014,"(-0.00029, 1e-05)",295,"0.063",NA
"9","SiteSEA",-0.00079,"(-0.01167, 0.01009)",281,"0.887",NA
"10","SiteSTL",-0.01754,"(-0.02727, -0.00782)",281,"<0.001",NA
"11","SiteUNC",0.00127,"(-0.009, 0.01153)",281,"0.808",NA
"12","AgeMRI",0.00356,"(0.00232, 0.0048)",295,"<0.001",NA
