"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",79817.92,"(63740.96, 95894.88)",334,"<0.001",NA
"2","SCQ_Pro_Score",-283.823,"(-1002.83, 435.18)",266,"0.438",NA
"3","Proband_SexFemale",3488.753,"(-2356.93, 9334.43)",266,"0.241",NA
"4","Cand_SexFemale",-5114.629,"(-9263.33, -965.93)",266,"0.016",NA
"5","RiskGroupHR-ASD",23058.746,"(-20304.84, 66422.33)",266,"0.296",NA
"6","RiskGroupHR-ASD:SCQ_Pro_Score",-549.279,"(-2402.09, 1303.53)",266,"0.56",NA
"7","RiskGroupHR-ASD:AgeMRI",-2090.629,"(-3568.33, -612.93)",334,"0.006",NA
"8","SCQ_Pro_Score:AgeMRI",-3.783,"(-27.43, 19.86)",334,"0.753",NA
"9","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",75.948,"(12.94, 138.95)",334,"0.018",NA
"10","SiteSEA",1585.502,"(-4275.37, 7446.38)",266,"0.595",NA
"11","SiteSTL",3.599,"(-5282.01, 5289.21)",266,"0.999",NA
"12","SiteUNC",2038.244,"(-3552.42, 7628.91)",266,"0.473",NA
"13","Pro_Age_SCQ_y",406.859,"(-378.59, 1192.31)",266,"0.309",NA
"14","AgeMRI",-125.136,"(-634.98, 384.71)",334,"0.63",NA
