"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",1695.078,"(1596.67, 1793.49)",367,"<0.001",NA
"2","SCQ_Pro_Score",-3.532,"(-11.01, 3.94)",267,"0.353",NA
"3","Cand_SexMale",198.354,"(117.38, 279.33)",267,"<0.001",NA
"4","RiskGroupHR-ASD",99.949,"(-10.02, 209.92)",267,"0.075",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",13.096,"(-7.97, 34.17)",267,"0.222",NA
"6","RiskGroupHR-ASD:AgeMRI",1.135,"(-3.91, 6.18)",367,"0.658",NA
"7","SCQ_Pro_Score:AgeMRI",0.167,"(-0.2, 0.53)",367,"0.369",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",1.237,"(0.23, 2.24)",367,"0.016",NA
"9","SiteSEA",-8.586,"(-124.76, 107.59)",267,"0.884",NA
"10","SiteSTL",39.6,"(-67.23, 146.43)",267,"0.466",NA
"11","SiteUNC",30.155,"(-83.89, 144.2)",267,"0.603",NA
"12","AgeMRI",43.717,"(41.68, 45.75)",367,"<0.001",NA
