"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",759928.058,"(739893.1, 779963.02)",372,"<0.001",NA
"2","SCQ_Pro_Score",-1157.448,"(-2904.13, 589.23)",294,"0.193",NA
"3","Cand_SexMale",75296.853,"(58567.98, 92025.72)",294,"<0.001",NA
"4","RiskGroupHR-ASD",6885.167,"(-16801.59, 30571.93)",294,"0.568",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",5419.085,"(1037.33, 9800.84)",294,"0.016",NA
"6","RiskGroupHR-ASD:AgeMRI",26.48,"(-1259.95, 1312.92)",372,"0.968",NA
"7","SCQ_Pro_Score:AgeMRI",12.928,"(-81.86, 107.72)",372,"0.789",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",88.967,"(-168.39, 346.32)",372,"0.497",NA
"9","SiteSEA",-12739.803,"(-36511.26, 11031.65)",294,"0.292",NA
"10","SiteSTL",-8504.078,"(-30125.88, 13117.72)",294,"0.44",NA
"11","SiteUNC",5551.32,"(-17723.39, 28826.03)",294,"0.639",NA
"12","AgeMRI",6521.06,"(6000.06, 7042.06)",372,"<0.001",NA
