"","Variable","Estimate","CI_95","DF","p_value","p_value_FDR"
"1","(Intercept)",56046.319,"(54787.79, 57304.85)",367,"<0.001",NA
"2","SCQ_Pro_Score",-69.314,"(-163.83, 25.21)",267,"0.15",NA
"3","Cand_SexMale",4496.821,"(3460.56, 5533.08)",267,"<0.001",NA
"4","RiskGroupHR-ASD",344.944,"(-1035.41, 1725.3)",267,"0.623",NA
"5","RiskGroupHR-ASD:SCQ_Pro_Score",393.522,"(127.94, 659.1)",267,"0.004",NA
"6","RiskGroupHR-ASD:AgeMRI",-13.976,"(-72.31, 44.36)",367,"0.638",NA
"7","SCQ_Pro_Score:AgeMRI",1.598,"(-2.7, 5.9)",367,"0.465",NA
"8","RiskGroupHR-ASD:SCQ_Pro_Score:AgeMRI",9.344,"(-2.59, 21.28)",367,"0.124",NA
"9","SiteSEA",-59.445,"(-1547.51, 1428.62)",267,"0.937",NA
"10","SiteSTL",-566.314,"(-1932.55, 799.92)",267,"0.415",NA
"11","SiteUNC",46.903,"(-1412.11, 1505.92)",267,"0.95",NA
"12","AgeMRI",1056.982,"(1033.32, 1080.65)",367,"<0.001",NA
