"","V06","V12","V24"
"EACSF","0.19","0.44","0.42"
"TCV","0.35","0.81","0.37"
"TSA","0.26","1.05","0.44"
"CCbody","0.41","0.14","0.8"
"CCGenu","0.27","0.31","0.87"
"CCSplenium","0.38","-0.37","0.24"
"ROI01","-0.85","-0.28","0.2"
"ROI02","-0.95","-0.01","-0.07"
"ROI08","0.13","0.68","0.36"
"ROI41","-0.01","<0.005","0.62"
"ROI42","0.2","0.21","0.36"
"ROI44","0.69","0.83","0.27"
"ROI47","-0.06","0.56","0.24"
"ROI48","0.34","0.8","0.35"
"ROI59","0.42","0.03","-0.02"
"ROI60","0.39","0.46","0.23"
"ROI77","-0.9","0.22","0.17"
