"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",33,"0.28","(-0.07, 0.57)",0.115,0.197
"2","V12","TSA",39,"0.4","(0.1, 0.64)",0.011,0.044
"3","V24","TSA",46,"0.41","(0.14, 0.63)",0.004,0.024
"4","V06","TCV",44,"0.31","(0.02, 0.56)",0.039,0.078
"5","V12","TCV",39,"0.36","(0.05, 0.61)",0.024,0.058
"6","V24","TCV",48,"0.35","(0.07, 0.58)",0.015,0.045
"7","V06","EACSF",42,"-0.02","(-0.32, 0.29)",0.905,0.905
"8","V12","EACSF",39,"0.16","(-0.16, 0.46)",0.319,0.425
"9","V24","EACSF",42,"0.2","(-0.11, 0.48)",0.202,0.303
"10","V06","CCSplenium",42,"0.45","(0.17, 0.66)",0.003,0.024
"11","V12","CCSplenium",36,"-0.09","(-0.4, 0.25)",0.616,0.672
"12","V24","CCSplenium",40,"0.09","(-0.23, 0.39)",0.581,0.672
"13","V06","CCbody",42,"0.29","(-0.01, 0.55)",0.06,NA
"14","V12","CCbody",36,"0.05","(-0.29, 0.37)",0.789,NA
"15","V24","CCbody",40,"0.05","(-0.26, 0.36)",0.754,NA
"16","V06","CCGenu",42,"0.29","(-0.01, 0.55)",0.059,NA
"17","V12","CCGenu",36,"0.15","(-0.19, 0.45)",0.387,NA
"18","V24","CCGenu",40,"0.27","(-0.05, 0.53)",0.096,NA
"19","V06","ROI01",33,"-0.2","(-0.51, 0.15)",0.263,NA
"20","V12","ROI01",39,"-0.12","(-0.42, 0.2)",0.458,NA
"21","V24","ROI01",46,"0.18","(-0.12, 0.44)",0.244,NA
"22","V06","ROI02",33,"-0.2","(-0.51, 0.16)",0.274,NA
"23","V12","ROI02",39,"-0.23","(-0.51, 0.09)",0.153,NA
"24","V24","ROI02",46,"0.05","(-0.24, 0.34)",0.729,NA
"25","V06","ROI08",33,"0.26","(-0.09, 0.55)",0.146,NA
"26","V12","ROI08",39,"0.23","(-0.09, 0.51)",0.163,NA
"27","V24","ROI08",46,"0.38","(0.1, 0.6)",0.01,NA
"28","V06","ROI41",33,"0.11","(-0.24, 0.44)",0.542,NA
"29","V12","ROI41",39,"0.2","(-0.12, 0.49)",0.216,NA
"30","V24","ROI41",46,"0.4","(0.12, 0.62)",0.006,NA
"31","V06","ROI42",33,"0.22","(-0.14, 0.52)",0.222,NA
"32","V12","ROI42",39,"0.22","(-0.1, 0.5)",0.173,NA
"33","V24","ROI42",46,"0.27","(-0.02, 0.52)",0.069,NA
"34","V06","ROI44",33,"0.3","(-0.04, 0.59)",0.086,NA
"35","V12","ROI44",39,"0.38","(0.07, 0.62)",0.017,NA
"36","V24","ROI44",46,"0.21","(-0.08, 0.47)",0.159,NA
"37","V06","ROI47",33,"-0.07","(-0.41, 0.28)",0.683,NA
"38","V12","ROI47",39,"0.18","(-0.14, 0.47)",0.275,NA
"39","V24","ROI47",46,"0.26","(-0.03, 0.52)",0.076,NA
"40","V06","ROI48",33,"0.44","(0.11, 0.68)",0.01,NA
"41","V12","ROI48",39,"0.38","(0.07, 0.62)",0.017,NA
"42","V24","ROI48",46,"0.39","(0.11, 0.61)",0.007,NA
"43","V06","ROI59",33,"0.27","(-0.08, 0.56)",0.133,NA
"44","V12","ROI59",39,"0.16","(-0.16, 0.45)",0.329,NA
"45","V24","ROI59",46,"0.15","(-0.15, 0.42)",0.316,NA
"46","V06","ROI60",33,"0.32","(-0.03, 0.6)",0.07,NA
"47","V12","ROI60",39,"0.19","(-0.13, 0.48)",0.239,NA
"48","V24","ROI60",46,"0.19","(-0.1, 0.46)",0.2,NA
"49","V06","ROI77",33,"-0.08","(-0.41, 0.27)",0.644,NA
"50","V12","ROI77",39,"0.12","(-0.2, 0.42)",0.46,NA
"51","V24","ROI77",46,"0.13","(-0.17, 0.4)",0.402,NA
