"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",33,"-0.04","(-0.38, 0.31)",0.826,0.971
"2","V12","TSA",40,"-0.12","(-0.42, 0.19)",0.443,0.971
"3","V24","TSA",44,"0.23","(-0.07, 0.49)",0.138,0.828
"4","V06","TCV",37,"0.09","(-0.24, 0.4)",0.593,0.971
"5","V12","TCV",40,"-0.06","(-0.37, 0.25)",0.697,0.971
"6","V24","TCV",44,"0.28","(-0.01, 0.54)",0.062,0.744
"7","V06","EACSF",33,"0.01","(-0.34, 0.35)",0.962,0.971
"8","V12","EACSF",38,"0.05","(-0.28, 0.36)",0.783,0.971
"9","V24","EACSF",36,"0.11","(-0.22, 0.43)",0.514,0.971
"10","V06","CCSplenium",32,"0.06","(-0.29, 0.4)",0.732,0.971
"11","V12","CCSplenium",35,"-0.16","(-0.47, 0.18)",0.359,0.971
"12","V24","CCSplenium",39,"-0.01","(-0.32, 0.31)",0.971,0.971
"13","V06","CCbody",32,"0.04","(-0.31, 0.39)",0.808,NA
"14","V12","CCbody",35,"-0.04","(-0.37, 0.3)",0.817,NA
"15","V24","CCbody",39,"-0.02","(-0.34, 0.29)",0.881,NA
"16","V06","CCGenu",32,"0.11","(-0.24, 0.44)",0.536,NA
"17","V12","CCGenu",35,"-0.24","(-0.53, 0.1)",0.162,NA
"18","V24","CCGenu",39,"0.12","(-0.21, 0.42)",0.477,NA
"19","V06","ROI01",33,"-0.13","(-0.46, 0.22)",0.461,NA
"20","V12","ROI01",40,"-0.11","(-0.41, 0.21)",0.503,NA
"21","V24","ROI01",44,"0.13","(-0.17, 0.41)",0.391,NA
"22","V06","ROI02",33,"-0.08","(-0.41, 0.27)",0.66,NA
"23","V12","ROI02",40,"-0.03","(-0.34, 0.29)",0.867,NA
"24","V24","ROI02",44,"0.11","(-0.2, 0.39)",0.489,NA
"25","V06","ROI08",33,"-0.09","(-0.42, 0.26)",0.607,NA
"26","V12","ROI08",40,"-0.01","(-0.32, 0.3)",0.951,NA
"27","V24","ROI08",44,"0.13","(-0.17, 0.41)",0.384,NA
"28","V06","ROI41",33,"0.04","(-0.3, 0.38)",0.804,NA
"29","V12","ROI41",40,"0","(-0.31, 0.31)",0.985,NA
"30","V24","ROI41",44,"0.11","(-0.2, 0.39)",0.491,NA
"31","V06","ROI42",33,"0.13","(-0.22, 0.46)",0.458,NA
"32","V12","ROI42",40,"-0.18","(-0.47, 0.14)",0.266,NA
"33","V24","ROI42",44,"0.03","(-0.27, 0.33)",0.831,NA
"34","V06","ROI44",33,"-0.09","(-0.42, 0.27)",0.636,NA
"35","V12","ROI44",40,"-0.16","(-0.45, 0.16)",0.317,NA
"36","V24","ROI44",44,"-0.16","(-0.44, 0.14)",0.287,NA
"37","V06","ROI47",33,"0.1","(-0.25, 0.43)",0.576,NA
"38","V12","ROI47",40,"-0.16","(-0.45, 0.16)",0.336,NA
"39","V24","ROI47",44,"0.16","(-0.15, 0.43)",0.312,NA
"40","V06","ROI48",33,"-0.4","(-0.66, -0.07)",0.02,NA
"41","V12","ROI48",40,"-0.37","(-0.61, -0.07)",0.018,NA
"42","V24","ROI48",44,"-0.08","(-0.37, 0.22)",0.617,NA
"43","V06","ROI59",33,"-0.07","(-0.4, 0.28)",0.709,NA
"44","V12","ROI59",40,"-0.05","(-0.36, 0.26)",0.743,NA
"45","V24","ROI59",44,"0.09","(-0.21, 0.38)",0.55,NA
"46","V06","ROI60",33,"0.09","(-0.26, 0.42)",0.62,NA
"47","V12","ROI60",40,"0.3","(-0.01, 0.56)",0.062,NA
"48","V24","ROI60",44,"0.32","(0.02, 0.56)",0.037,NA
"49","V06","ROI77",33,"0.04","(-0.3, 0.38)",0.805,NA
"50","V12","ROI77",40,"-0.02","(-0.33, 0.29)",0.883,NA
"51","V24","ROI77",44,"0.21","(-0.1, 0.48)",0.177,NA
