"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","EACSF",15,"-0.12","(-0.6, 0.41)",0.657,NA
"2","V12","EACSF",14,"0.03","(-0.51, 0.55)",0.908,NA
"3","V24","EACSF",19,"-0.03","(-0.48, 0.43)",0.91,NA
"4","V06","TCV",15,"-0.36","(-0.74, 0.18)",0.184,0.427
"5","V12","TCV",13,"-0.25","(-0.71, 0.35)",0.406,0.427
"6","V24","TCV",19,"-0.29","(-0.65, 0.19)",0.236,0.427
"7","V06","TSA",14,"-0.23","(-0.68, 0.34)",0.427,0.427
"8","V12","TSA",14,"-0.29","(-0.71, 0.28)",0.311,0.427
"9","V24","TSA",19,"-0.27","(-0.65, 0.21)",0.263,0.427
"10","V06","CCbody",14,"0.59","(0.09, 0.85)",0.026,NA
"11","V12","CCbody",14,"0.25","(-0.32, 0.69)",0.389,NA
"12","V24","CCbody",16,"0.65","(0.22, 0.86)",0.007,NA
"13","V06","CCGenu",14,"0.45","(-0.1, 0.79)",0.105,NA
"14","V12","CCGenu",14,"0.31","(-0.27, 0.72)",0.287,NA
"15","V24","CCGenu",16,"0.53","(0.05, 0.81)",0.033,NA
"16","V06","CCSplenium",14,"0.6","(0.1, 0.86)",0.023,NA
"17","V12","CCSplenium",14,"0.18","(-0.39, 0.65)",0.544,NA
"18","V24","CCSplenium",16,"0.71","(0.32, 0.89)",0.002,NA
"19","V06","ROI01",14,"-0.34","(-0.74, 0.24)",0.241,NA
"20","V12","ROI01",14,"-0.23","(-0.68, 0.34)",0.434,NA
"21","V24","ROI01",19,"-0.23","(-0.62, 0.25)",0.348,NA
"22","V06","ROI02",14,"-0.32","(-0.73, 0.25)",0.262,NA
"23","V12","ROI02",14,"-0.08","(-0.58, 0.47)",0.791,NA
"24","V24","ROI02",19,"-0.21","(-0.61, 0.27)",0.383,NA
"25","V06","ROI08",14,"-0.26","(-0.69, 0.32)",0.373,NA
"26","V12","ROI08",14,"-0.19","(-0.65, 0.38)",0.523,NA
"27","V24","ROI08",19,"-0.24","(-0.63, 0.24)",0.316,NA
"28","V06","ROI41",14,"-0.2","(-0.66, 0.37)",0.486,NA
"29","V12","ROI41",14,"0.37","(-0.2, 0.75)",0.195,NA
"30","V24","ROI41",19,"0.05","(-0.41, 0.5)",0.827,NA
"31","V06","ROI42",14,"-0.16","(-0.64, 0.4)",0.583,NA
"32","V12","ROI42",14,"-0.2","(-0.66, 0.37)",0.484,NA
"33","V24","ROI42",19,"-0.08","(-0.52, 0.38)",0.732,NA
"34","V06","ROI44",14,"-0.32","(-0.73, 0.26)",0.271,NA
"35","V12","ROI44",14,"-0.22","(-0.67, 0.35)",0.457,NA
"36","V24","ROI44",19,"-0.33","(-0.68, 0.15)",0.169,NA
"37","V06","ROI47",14,"0.01","(-0.52, 0.54)",0.964,NA
"38","V12","ROI47",14,"-0.16","(-0.64, 0.4)",0.577,NA
"39","V24","ROI47",19,"-0.02","(-0.47, 0.43)",0.922,NA
"40","V06","ROI48",14,"-0.19","(-0.65, 0.38)",0.525,NA
"41","V12","ROI48",14,"0","(-0.53, 0.53)",0.991,NA
"42","V24","ROI48",19,"0.04","(-0.42, 0.49)",0.858,NA
"43","V06","ROI59",14,"0.17","(-0.39, 0.65)",0.55,NA
"44","V12","ROI59",14,"-0.18","(-0.65, 0.39)",0.546,NA
"45","V24","ROI59",19,"-0.15","(-0.56, 0.33)",0.546,NA
"46","V06","ROI60",14,"0.29","(-0.28, 0.71)",0.313,NA
"47","V12","ROI60",14,"0.02","(-0.52, 0.54)",0.955,NA
"48","V24","ROI60",19,"-0.22","(-0.61, 0.26)",0.372,NA
"49","V06","ROI77",14,"-0.02","(-0.55, 0.51)",0.937,NA
"50","V12","ROI77",14,"-0.14","(-0.62, 0.42)",0.633,NA
"51","V24","ROI77",19,"-0.15","(-0.56, 0.33)",0.549,NA
"52","V06","VABS_SA_SOC_STD",17,"0.45","(-0.04, 0.77)",0.069,0.427
