"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",153,"-0.02","(-0.18, 0.14)",0.8,0.845
"2","V12","TSA",194,"-0.08","(-0.22, 0.06)",0.246,0.845
"3","V24","TSA",181,"-0.04","(-0.18, 0.11)",0.633,0.845
"4","V06","TCV",167,"-0.02","(-0.17, 0.14)",0.845,0.845
"5","V12","TCV",194,"-0.06","(-0.2, 0.08)",0.43,0.845
"6","V24","TCV",186,"-0.04","(-0.18, 0.11)",0.635,0.845
"7","V06","EACSF",149,"-0.02","(-0.18, 0.14)",0.821,0.845
"8","V12","EACSF",182,"-0.07","(-0.21, 0.08)",0.37,0.845
"9","V24","EACSF",159,"-0.1","(-0.25, 0.06)",0.222,0.845
"10","V06","CCbody",137,"0","(-0.17, 0.17)",0.999,NA
"11","V12","CCbody",172,"0.02","(-0.13, 0.16)",0.842,NA
"12","V24","CCbody",160,"0","(-0.16, 0.15)",0.982,NA
"13","V06","CCGenu",137,"0","(-0.16, 0.17)",0.959,NA
"14","V12","CCGenu",172,"0.06","(-0.09, 0.2)",0.468,NA
"15","V24","CCGenu",159,"0.08","(-0.07, 0.23)",0.302,NA
"16","V06","CCSplenium",137,"-0.02","(-0.19, 0.15)",0.826,NA
"17","V12","CCSplenium",172,"0.03","(-0.12, 0.18)",0.657,NA
"18","V24","CCSplenium",160,"0.04","(-0.12, 0.19)",0.637,NA
"19","V06","ROI01",153,"0.06","(-0.1, 0.22)",0.466,NA
"20","V12","ROI01",194,"0.02","(-0.13, 0.16)",0.826,NA
"21","V24","ROI01",181,"0.01","(-0.13, 0.16)",0.854,NA
"22","V06","ROI02",153,"-0.02","(-0.18, 0.14)",0.827,NA
"23","V12","ROI02",194,"-0.03","(-0.17, 0.11)",0.659,NA
"24","V24","ROI02",181,"0.02","(-0.12, 0.17)",0.765,NA
"25","V06","ROI08",153,"-0.01","(-0.17, 0.15)",0.931,NA
"26","V12","ROI08",194,"-0.02","(-0.16, 0.12)",0.748,NA
"27","V24","ROI08",181,"0.02","(-0.12, 0.17)",0.743,NA
"28","V06","ROI41",153,"0.08","(-0.08, 0.24)",0.328,NA
"29","V12","ROI41",194,"0.11","(-0.04, 0.24)",0.141,NA
"30","V24","ROI41",181,"0.02","(-0.13, 0.16)",0.831,NA
"31","V06","ROI42",153,"0.01","(-0.15, 0.17)",0.929,NA
"32","V12","ROI42",194,"-0.02","(-0.16, 0.12)",0.766,NA
"33","V24","ROI42",181,"0.04","(-0.11, 0.18)",0.605,NA
"34","V06","ROI44",153,"0.06","(-0.1, 0.21)",0.491,NA
"35","V12","ROI44",194,"-0.03","(-0.17, 0.11)",0.633,NA
"36","V24","ROI44",181,"0.04","(-0.11, 0.19)",0.58,NA
"37","V06","ROI47",153,"0.1","(-0.06, 0.26)",0.212,NA
"38","V12","ROI47",194,"0.01","(-0.13, 0.15)",0.857,NA
"39","V24","ROI47",181,"0.01","(-0.14, 0.15)",0.936,NA
"40","V06","ROI48",153,"-0.07","(-0.23, 0.09)",0.373,NA
"41","V12","ROI48",194,"-0.16","(-0.3, -0.02)",0.024,NA
"42","V24","ROI48",181,"-0.08","(-0.22, 0.06)",0.274,NA
"43","V06","ROI59",153,"-0.05","(-0.21, 0.11)",0.546,NA
"44","V12","ROI59",194,"-0.04","(-0.18, 0.1)",0.594,NA
"45","V24","ROI59",181,"-0.01","(-0.16, 0.13)",0.882,NA
"46","V06","ROI60",153,"0","(-0.16, 0.15)",0.961,NA
"47","V12","ROI60",194,"-0.05","(-0.19, 0.09)",0.486,NA
"48","V24","ROI60",181,"-0.09","(-0.23, 0.06)",0.239,NA
"49","V06","ROI77",153,"0","(-0.16, 0.16)",1,NA
"50","V12","ROI77",194,"-0.01","(-0.15, 0.13)",0.869,NA
"51","V24","ROI77",181,"-0.02","(-0.16, 0.13)",0.832,NA
