"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","EACSF",149,"-0.02","(-0.18, 0.14)",0.821,NA
"2","V12","EACSF",183,"-0.07","(-0.21, 0.08)",0.372,NA
"3","V24","EACSF",159,"-0.1","(-0.25, 0.06)",0.222,NA
"4","V06","TCV",167,"-0.02","(-0.17, 0.14)",0.845,NA
"5","V12","TCV",195,"-0.06","(-0.19, 0.09)",0.443,NA
"6","V24","TCV",186,"-0.04","(-0.18, 0.11)",0.635,NA
"7","V06","TSA",153,"-0.02","(-0.18, 0.14)",0.8,NA
"8","V12","TSA",195,"-0.08","(-0.22, 0.06)",0.278,NA
"9","V24","TSA",181,"-0.04","(-0.18, 0.11)",0.633,NA
"10","V06","CCbody",137,"0","(-0.17, 0.17)",0.999,1
"11","V12","CCbody",173,"0.02","(-0.13, 0.16)",0.842,1
"12","V24","CCbody",160,"0","(-0.16, 0.15)",0.982,1
"13","V06","CCGenu",137,"0","(-0.16, 0.17)",0.959,1
"14","V12","CCGenu",173,"0.06","(-0.09, 0.2)",0.467,1
"15","V24","CCGenu",159,"0.08","(-0.07, 0.23)",0.302,1
"16","V06","CCSplenium",137,"-0.02","(-0.19, 0.15)",0.826,1
"17","V12","CCSplenium",173,"0.03","(-0.12, 0.18)",0.657,1
"18","V24","CCSplenium",160,"0.04","(-0.12, 0.19)",0.637,1
"19","V06","ROI01",153,"0.06","(-0.1, 0.22)",0.466,1
"20","V12","ROI01",195,"0.02","(-0.13, 0.16)",0.83,1
"21","V24","ROI01",181,"0.01","(-0.13, 0.16)",0.854,1
"22","V06","ROI02",153,"-0.02","(-0.18, 0.14)",0.827,1
"23","V12","ROI02",195,"-0.03","(-0.17, 0.11)",0.667,1
"24","V24","ROI02",181,"0.02","(-0.12, 0.17)",0.765,1
"25","V06","ROI08",153,"-0.01","(-0.17, 0.15)",0.931,1
"26","V12","ROI08",195,"-0.02","(-0.16, 0.12)",0.755,1
"27","V24","ROI08",181,"0.02","(-0.12, 0.17)",0.743,1
"28","V06","ROI41",153,"0.08","(-0.08, 0.24)",0.328,1
"29","V12","ROI41",195,"0.1","(-0.04, 0.24)",0.161,1
"30","V24","ROI41",181,"0.02","(-0.13, 0.16)",0.831,1
"31","V06","ROI42",153,"0.01","(-0.15, 0.17)",0.929,1
"32","V12","ROI42",195,"-0.02","(-0.16, 0.12)",0.776,1
"33","V24","ROI42",181,"0.04","(-0.11, 0.18)",0.605,1
"34","V06","ROI44",153,"0.06","(-0.1, 0.21)",0.491,1
"35","V12","ROI44",195,"-0.03","(-0.17, 0.11)",0.636,1
"36","V24","ROI44",181,"0.04","(-0.11, 0.19)",0.58,1
"37","V06","ROI47",153,"0.1","(-0.06, 0.26)",0.212,1
"38","V12","ROI47",195,"0.01","(-0.13, 0.15)",0.859,1
"39","V24","ROI47",181,"0.01","(-0.14, 0.15)",0.936,1
"40","V06","ROI48",153,"-0.07","(-0.23, 0.09)",0.373,1
"41","V12","ROI48",195,"-0.16","(-0.29, -0.02)",0.026,1
"42","V24","ROI48",181,"-0.08","(-0.22, 0.06)",0.274,1
"43","V06","ROI59",153,"-0.05","(-0.21, 0.11)",0.546,1
"44","V12","ROI59",195,"-0.04","(-0.18, 0.1)",0.596,1
"45","V24","ROI59",181,"-0.01","(-0.16, 0.13)",0.882,1
"46","V06","ROI60",153,"0","(-0.16, 0.15)",0.961,1
"47","V12","ROI60",195,"-0.05","(-0.19, 0.09)",0.485,1
"48","V24","ROI60",181,"-0.09","(-0.23, 0.06)",0.239,1
"49","V06","ROI77",153,"0","(-0.16, 0.16)",1,1
"50","V12","ROI77",195,"-0.01","(-0.15, 0.13)",0.87,1
"51","V24","ROI77",181,"-0.02","(-0.16, 0.13)",0.832,1
