"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","TSA",120,"-0.03","(-0.21, 0.15)",0.741,0.808
"2","V12","TSA",155,"-0.07","(-0.22, 0.09)",0.393,0.743
"3","V24","TSA",137,"-0.09","(-0.26, 0.07)",0.272,0.743
"4","V06","TCV",130,"-0.04","(-0.21, 0.13)",0.619,0.743
"5","V12","TCV",155,"-0.05","(-0.21, 0.11)",0.515,0.743
"6","V24","TCV",142,"-0.1","(-0.26, 0.06)",0.221,0.743
"7","V06","EACSF",116,"-0.02","(-0.2, 0.16)",0.823,0.823
"8","V12","EACSF",145,"-0.09","(-0.25, 0.07)",0.272,0.743
"9","V24","EACSF",123,"-0.16","(-0.33, 0.02)",0.078,0.743
"10","V06","CCSplenium",105,"-0.05","(-0.24, 0.14)",0.59,0.743
"11","V12","CCSplenium",138,"0.08","(-0.09, 0.24)",0.375,0.743
"12","V24","CCSplenium",121,"0.05","(-0.13, 0.23)",0.583,0.743
"13","V06","CCbody",105,"-0.01","(-0.2, 0.18)",0.919,NA
"14","V12","CCbody",138,"0.02","(-0.14, 0.19)",0.784,NA
"15","V24","CCbody",121,"0.01","(-0.17, 0.18)",0.952,NA
"16","V06","CCGenu",105,"0","(-0.19, 0.19)",0.98,NA
"17","V12","CCGenu",138,"0.1","(-0.06, 0.27)",0.223,NA
"18","V24","CCGenu",120,"0.07","(-0.11, 0.25)",0.451,NA
"19","V06","ROI01",120,"0.1","(-0.08, 0.27)",0.28,NA
"20","V12","ROI01",155,"0.04","(-0.12, 0.2)",0.598,NA
"21","V24","ROI01",137,"-0.02","(-0.19, 0.15)",0.813,NA
"22","V06","ROI02",120,"-0.01","(-0.18, 0.17)",0.95,NA
"23","V12","ROI02",155,"-0.03","(-0.19, 0.13)",0.706,NA
"24","V24","ROI02",137,"0","(-0.17, 0.17)",0.982,NA
"25","V06","ROI08",120,"0","(-0.18, 0.18)",0.984,NA
"26","V12","ROI08",155,"-0.02","(-0.18, 0.13)",0.774,NA
"27","V24","ROI08",137,"-0.01","(-0.17, 0.16)",0.953,NA
"28","V06","ROI41",120,"0.08","(-0.1, 0.26)",0.365,NA
"29","V12","ROI41",155,"0.12","(-0.04, 0.27)",0.137,NA
"30","V24","ROI41",137,"-0.01","(-0.17, 0.16)",0.945,NA
"31","V06","ROI42",120,"-0.02","(-0.2, 0.16)",0.825,NA
"32","V12","ROI42",155,"0","(-0.15, 0.16)",0.954,NA
"33","V24","ROI42",137,"0.04","(-0.13, 0.21)",0.64,NA
"34","V06","ROI44",120,"0.08","(-0.1, 0.26)",0.374,NA
"35","V12","ROI44",155,"0","(-0.16, 0.16)",1,NA
"36","V24","ROI44",137,"0.11","(-0.06, 0.27)",0.208,NA
"37","V06","ROI47",120,"0.11","(-0.07, 0.28)",0.232,NA
"38","V12","ROI47",155,"0.04","(-0.12, 0.2)",0.602,NA
"39","V24","ROI47",137,"-0.03","(-0.2, 0.13)",0.692,NA
"40","V06","ROI48",120,"0.01","(-0.17, 0.18)",0.956,NA
"41","V12","ROI48",155,"-0.12","(-0.27, 0.04)",0.143,NA
"42","V24","ROI48",137,"-0.08","(-0.25, 0.09)",0.333,NA
"43","V06","ROI59",120,"-0.05","(-0.23, 0.13)",0.577,NA
"44","V12","ROI59",155,"-0.04","(-0.19, 0.12)",0.655,NA
"45","V24","ROI59",137,"-0.03","(-0.2, 0.13)",0.694,NA
"46","V06","ROI60",120,"-0.04","(-0.22, 0.14)",0.664,NA
"47","V12","ROI60",155,"-0.09","(-0.25, 0.06)",0.243,NA
"48","V24","ROI60",137,"-0.18","(-0.34, -0.02)",0.031,NA
"49","V06","ROI77",120,"0.01","(-0.17, 0.19)",0.913,NA
"50","V12","ROI77",155,"-0.01","(-0.17, 0.15)",0.875,NA
"51","V24","ROI77",137,"-0.09","(-0.25, 0.08)",0.299,NA
