"","Time","Variable","n","Estimate","CI","p_value","p_value_FDR"
"1","V06","EACSF",17,"-0.1","(-0.56, 0.4)",0.691,NA
"2","V12","EACSF",16,"-0.28","(-0.68, 0.25)",0.287,NA
"3","V24","EACSF",19,"-0.16","(-0.57, 0.32)",0.518,NA
"4","V06","TCV",17,"0.13","(-0.38, 0.57)",0.626,0.954
"5","V12","TCV",15,"0.14","(-0.4, 0.61)",0.61,0.954
"6","V24","TCV",21,"0.02","(-0.42, 0.44)",0.948,0.954
"7","V06","TSA",16,"0.09","(-0.42, 0.56)",0.733,0.954
"8","V12","TSA",16,"0.05","(-0.45, 0.54)",0.841,0.954
"9","V24","TSA",21,"0.01","(-0.42, 0.44)",0.954,0.954
"10","V06","CCbody",16,"0.12","(-0.4, 0.58)",0.67,NA
"11","V12","CCbody",16,"0.08","(-0.43, 0.55)",0.775,NA
"12","V24","CCbody",18,"0.22","(-0.28, 0.62)",0.384,NA
"13","V06","CCGenu",16,"0.19","(-0.34, 0.63)",0.478,NA
"14","V12","CCGenu",16,"0.28","(-0.25, 0.68)",0.286,NA
"15","V24","CCGenu",18,"0.08","(-0.4, 0.53)",0.761,NA
"16","V06","CCSplenium",16,"0.23","(-0.3, 0.65)",0.391,NA
"17","V12","CCSplenium",16,"0.5","(0, 0.8)",0.049,NA
"18","V24","CCSplenium",18,"0","(-0.46, 0.47)",0.989,NA
"19","V06","ROI01",16,"0.3","(-0.23, 0.69)",0.261,NA
"20","V12","ROI01",16,"-0.06","(-0.54, 0.45)",0.837,NA
"21","V24","ROI01",21,"0.02","(-0.42, 0.45)",0.941,NA
"22","V06","ROI02",16,"0.35","(-0.17, 0.72)",0.182,NA
"23","V12","ROI02",16,"0.21","(-0.32, 0.64)",0.43,NA
"24","V24","ROI02",21,"-0.03","(-0.45, 0.41)",0.901,NA
"25","V06","ROI08",16,"-0.06","(-0.54, 0.45)",0.823,NA
"26","V12","ROI08",16,"-0.11","(-0.57, 0.41)",0.688,NA
"27","V24","ROI08",21,"-0.04","(-0.46, 0.4)",0.864,NA
"28","V06","ROI41",16,"0.27","(-0.26, 0.67)",0.317,NA
"29","V12","ROI41",16,"0.13","(-0.39, 0.58)",0.643,NA
"30","V24","ROI41",21,"0.3","(-0.16, 0.64)",0.194,NA
"31","V06","ROI42",16,"-0.3","(-0.69, 0.23)",0.266,NA
"32","V12","ROI42",16,"-0.06","(-0.54, 0.45)",0.839,NA
"33","V24","ROI42",21,"-0.04","(-0.47, 0.4)",0.849,NA
"34","V06","ROI44",16,"-0.03","(-0.52, 0.47)",0.917,NA
"35","V12","ROI44",16,"0.24","(-0.29, 0.66)",0.373,NA
"36","V24","ROI44",21,"-0.09","(-0.5, 0.35)",0.691,NA
"37","V06","ROI47",16,"0.13","(-0.39, 0.59)",0.632,NA
"38","V12","ROI47",16,"0.22","(-0.31, 0.65)",0.41,NA
"39","V24","ROI47",21,"0.01","(-0.42, 0.44)",0.971,NA
"40","V06","ROI48",16,"0.37","(-0.15, 0.73)",0.157,NA
"41","V12","ROI48",16,"-0.04","(-0.52, 0.47)",0.887,NA
"42","V24","ROI48",21,"0.21","(-0.24, 0.59)",0.355,NA
"43","V06","ROI59",16,"0.13","(-0.39, 0.59)",0.624,NA
"44","V12","ROI59",16,"0.18","(-0.34, 0.62)",0.499,NA
"45","V24","ROI59",21,"-0.01","(-0.44, 0.42)",0.954,NA
"46","V06","ROI60",16,"-0.08","(-0.56, 0.43)",0.76,NA
"47","V12","ROI60",16,"0.31","(-0.22, 0.7)",0.238,NA
"48","V24","ROI60",21,"-0.1","(-0.51, 0.35)",0.67,NA
"49","V06","ROI77",16,"-0.01","(-0.51, 0.49)",0.963,NA
"50","V12","ROI77",16,"0.07","(-0.44, 0.54)",0.807,NA
"51","V24","ROI77",21,"0.02","(-0.42, 0.45)",0.941,NA
"52","V06","VABS_SA_SOC_STD",20,"0.4","(-0.05, 0.72)",0.079,0.553
